Inputs:
n: 100
m: 5
p: 5
k: 20

Generation	T4T%	G%	AC%	AD%	T4T Payoff	G Payoff	AC Payoff	AD Payoff	T4T Avg Payoff	G Avg Payoff	AC Avg Payoff	AD Avg Payoff	Total Payoff
1	0	33	33	34	0	36663	32175	43758	0.0	1111.0	975.0	1287.0	112596	
2	0	33	28	39	0	34848	25200	46293	0.0	1056.0	900.0	1187.0	106341	
3	0	33	23	44	0	33033	18975	47828	0.0	1001.0	825.0	1087.0	99836	
4	0	33	18	49	0	31218	13500	48363	0.0	946.0	750.0	987.0	93081	
5	0	33	13	54	0	29403	8775	47898	0.0	891.0	675.0	887.0	86076	
6	0	38	8	54	0	33858	5400	43578	0.0	891.0	675.0	807.0	82836	
7	0	43	3	54	0	38313	2025	39258	0.0	891.0	675.0	727.0	79596	
8	0	48	0	52	0	43824	0	35724	0.0	913.0	0.0	687.0	79548	
9	0	53	0	47	0	51304	0	33229	0.0	968.0	0.0	707.0	84533	
10	0	57	0	42	0	59334	0	30534	0.0	1023.0	0.0	727.0	89868	
11	0	63	0	37	0	67914	0	27639	0.0	1078.0	0.0	747.0	95553	
12	0	68	0	32	0	77044	0	24544	0.0	1133.0	0.0	767.0	101588	
13	0	73	0	27	0	86724	0	21249	0.0	1188.0	0.0	787.0	107973	
14	0	78	0	22	0	96954	0	17754	0.0	1243.0	0.0	807.0	114708	
15	0	83	0	17	0	107734	0	14059	0.0	1298.0	0.0	827.0	121793	
16	0	88	0	12	0	119064	0	10164	0.0	1353.0	0.0	847.0	129228	
17	0	93	0	7	0	130944	0	6069	0.0	1408.0	0.0	867.0	137013	
18	0	98	0	2	0	143374	0	1774	0.0	1463.0	0.0	887.0	145148	
19	0	100	0	0	0	148500	0	0	0.0	1485.0	0.0	0.0	148500	
20	0	100	0	0	0	148500	0	0	0.0	1485.0	0.0	0.0	148500	
